A,K,L,M,N,O,P,B,C,D,E,F,G,H,I,J,Q,R,S,T
corrected time (hrs),F3 corr,F5 corr,F7 corr,F9 corr,F11 corr,F13 corr,D3 corr,d5 corr,d7 corr,d9 corr,d11 corr,d13 corr,,,,,,,
-0.59982,29.39353,25.94072,21.99779,19.49021,18.80842,18.50531,-10.17701,-8.24438,-7.1941,-6.35494,-5.4295,-5.107,,,,,,,
-0.59922,29.58154,25.88345,22.03545,19.43284,18.69481,18.41468,-10.12239,-8.1956,-7.11246,-6.37731,-5.40676,-5.20696,,,,,,,
-0.59863,29.46511,26.06219,22.06454,19.4432,18.70413,18.40351,-10.175,-8.2077,-7.21122,-6.36742,-5.42473,-5.15793,,,,,,,
-0.59801,29.22469,25.77285,22.06477,19.46035,18.71054,18.56662,-10.17642,-8.2835,-7.12707,-6.38671,-5.47959,-5.21272,,,,,,,
-0.59742,29.39705,25.7587,21.88998,19.4849,18.55632,18.28249,-10.16709,-8.22564,-7.19021,-6.36131,-5.4757,-5.21202,,,,,,,
-0.59681,29.32313,25.92252,22.05996,19.52652,18.70449,18.35479,-10.11039,-8.24529,-7.192,-6.3457,-5.43227,-5.17002,,,,,,,
-0.59619,29.47024,25.79789,21.94138,19.46293,18.64779,18.38567,-10.11892,-8.15238,-7.10481,-6.40247,-5.43917,-5.14099,,,,,,,
-0.59559,29.50813,25.96238,22.01416,19.45194,18.71806,18.50217,-10.05192,-8.20787,-7.15487,-6.37419,-5.39633,-5.10372,,,,,,,
-0.59499,29.34369,25.70247,21.96429,19.44212,18.75346,18.436,-10.11619,-8.21104,-7.16896,-6.36553,-5.41637,-5.19795,,,,,,,
-0.59438,29.46113,25.79607,21.91731,19.48979,18.63406,18.44312,-10.07031,-8.14699,-7.15131,-6.3597,-5.43011,-5.20538,,,,,,,
-0.59378,29.47652,25.82596,21.9599,19.43669,18.6921,18.64954,-10.14289,-8.1816,-7.16563,-6.36944,-5.45353,-5.19446,,,,,,,
-0.59318,29.31093,25.92549,21.96855,19.40928,18.75667,18.42194,-10.21664,-8.26186,-7.19271,-6.3539,-5.4183,-5.20498,,,,,,,
-0.59256,29.42425,25.91441,21.84474,19.46563,18.54891,18.54382,-10.10511,-8.28422,-7.11995,-6.36488,-5.48579,-5.19294,,,,,,,
-0.59196,29.30604,25.91363,21.9276,19.38805,18.69527,18.25773,-10.19996,-8.27289,-7.18393,-6.3669,-5.3904,-5.30222,,,,,,,
-0.59135,29.31135,25.91828,21.77135,19.41136,18.57419,18.60076,-10.11721,-8.28,-7.15396,-6.39283,-5.48468,-5.10391,,,,,,,
-0.59074,29.45407,25.94789,21.91301,19.47369,18.65566,18.45785,-10.22507,-8.18547,-7.19765,-6.37597,-5.40769,-5.1608,,,,,,,
-0.59015,29.26437,26.00391,21.76485,19.42651,18.75889,18.44222,-10.15609,-8.14117,-7.22766,-6.35649,-5.4629,-5.14087,,,,,,,
-0.58954,29.37402,25.97313,21.94506,19.428,18.78595,18.48064,-10.10359,-8.3508,-7.11541,-6.36746,-5.42769,-5.14865,,,,,,,
-0.58895,29.29108,25.64245,21.90661,19.35243,18.6242,18.63746,-10.13781,-8.18613,-7.09803,-6.38636,-5.43904,-5.1166,,,,,,,
-0.58834,29.48795,25.8058,22.02604,19.46354,18.58212,18.14381,-10.10752,-8.31181,-7.09964,-6.38596,-5.38208,-5.15418,,,,,,,
-0.58775,29.24711,25.80144,21.88002,19.32361,18.51955,18.31548,-10.16073,-8.17908,-7.15251,-6.35646,-5.45104,-5.20082,,,,,,,
-0.58716,29.34503,25.80518,22.03972,19.34133,18.75617,18.30429,-10.11078,-8.21253,-7.08533,-6.39019,-5.44155,-5.20788,,,,,,,
-0.58655,29.31786,25.86087,21.98241,19.44164,18.61181,18.51505,-10.1387,-8.29995,-7.15705,-6.3888,-5.43459,-5.09905,,,,,,,
-0.58597,29.4509,26.11014,21.88672,19.38028,18.67363,18.5035,-10.11111,-8.19553,-7.13284,-6.37497,-5.40712,-5.1542,,,,,,,
-0.58538,29.25287,25.82556,21.85435,19.35772,18.6574,18.37946,-10.15343,-8.19211,-7.16869,-6.37745,-5.4409,-5.23144,,,,,,,
-0.58477,29.57162,25.88103,21.9374,19.35343,18.50999,18.47666,-10.18084,-8.29614,-7.21362,-6.38048,-5.41818,-5.04008,,,,,,,
-0.58417,29.39779,26.07922,21.84897,19.41163,18.47717,18.45556,-10.19072,-8.23535,-7.10061,-6.36429,-5.42067,-5.11037,,,,,,,
-0.58359,29.1772,25.89037,21.90205,19.42391,18.58447,18.34732,-10.12078,-8.20709,-7.10711,-6.34915,-5.48538,-5.14453,,,,,,,
-0.58301,29.39176,25.81254,21.85624,19.48985,18.51678,18.48019,-10.12717,-8.20853,-7.16154,-6.39273,-5.41122,-5.23032,,,,,,,
-0.58241,29.37197,25.82839,21.81705,19.41081,18.52804,18.61941,-10.08761,-8.24577,-7.16272,-6.38621,-5.42253,-5.15797,,,,,,,
-0.58182,29.24374,26.07641,21.87185,19.35452,18.65512,18.26692,-10.03316,-8.12041,-7.14802,-6.38386,-5.43249,-5.22825,,,,,,,
-0.58121,29.29904,25.81141,21.92039,19.47045,18.56474,18.32379,-10.16359,-8.14343,-7.09078,-6.3609,-5.43894,-5.12595,,,,,,,
-0.58062,29.30221,26.04765,22.05695,19.30528,18.56219,18.51639,-10.14564,-8.19897,-7.10553,-6.38621,-5.40974,-5.14683,,,,,,,
-0.58001,29.24797,26.12177,21.93722,19.38363,18.58912,18.48467,-10.14482,-8.26506,-7.09033,-6.36545,-5.41893,-5.20059,,,,,,,
-0.57941,29.39333,25.93355,21.65728,19.36522,18.76472,18.42142,-10.13574,-8.17484,-7.16,-6.37213,-5.41826,-5.16597,,,,,,,
-0.57882,29.19762,25.95378,21.62016,19.39359,18.65655,18.31038,-10.07287,-8.3332,-7.16466,-6.32545,-5.46728,-5.09748,,,,,,,
