ID ,Slope,Intercept,R value,P value,K2 ,P val Error
F3 1,0.163,14.958,0.805,0.0,52.286,0.0
F5 1,0.094,11.665,0.585,0.0,455.885,0.0
F7 1,0.043,7.99,0.413,0.0,586.712,0.0
F9 1,0.043,7.99,0.413,0.0,586.712,0.0
F3 2,-0.122,20.871,-0.386,0.0,1.028,0.598
F5 2,-0.128,14.054,-0.326,0.0,0.927,0.629
F7 2,-0.119,9.492,-0.453,0.0,1.074,0.585
F9 2,-0.119,9.492,-0.453,0.0,1.074,0.585

D,i,s,s,i,p,a,t,i,o,n
F3 1,-0.018,-9.602,-0.431,0.0,0.826,0.662
F5 1,-0.032,-7.579,-0.594,0.0,2.241,0.326
F7 1,-0.035,-6.424,-0.759,0.0,3.189,0.203
F9 1,-0.035,-6.424,-0.759,0.0,3.189,0.203
F3 2,0.02,-11.351,0.136,0.0,0.26,0.878
F5 2,-0.001,-8.003,-0.008,0.739,0.506,0.776
F7 2,-0.002,-6.708,-0.019,0.447,0.525,0.769
F9 2,-0.002,-6.708,-0.019,0.447,0.525,0.769
